Name,Area_Type,District_City
Sherewala,Village,Kasur
Shikar pur,Town,Bhakkar
Shikarpur,City,Shikarpur
Shinka,Village,Attock
Shorkot,City,Jhang
Shujabad,City,Multan
Sialkot,City,Sialkot
Sibi,City,Sibi
Sikandar Pura,Village,Kasur
Sikaryali,Town,Gujrat
Sikhanwala,Town,Sahiwal
Sillanwali,Town,Sargodha
Singh Khalsa,Town,Lahore
Skardu,City,Gilgit-Baltistan
Sluice,Village,Okara
Sodhi Bala,Village,Khushab
Sodhra,Town,Gujranwala
Sodian Gujar,Village,Jhelum
Sohan,Village,Jhelum
Sohawa,Town,Jhelum
Sohianwala,Village,Layyah
Sokar,Town,Dera Ghazi Khan
Sui,District_Unit,Dera Bugti
Sujowali,Village,Gujranwala
Sukhochak,Town,Narowal
Sukkur,City,Sukkur
Sultan Khel,Village,Mianwali
Sultanpur,Village,Jhelum
Surajpur,Town,Faisalabad
Swabi,City,Swabi
Swans,Village,Mianwali
Talwandi,Town,Kasur
Tandlianwala,City,Faisalabad
Tando Allahyar,City,Tando Allahyar
Tando Muhammad Khan,City,Tando Muhammad Khan
Tangrian,Village,Kasur
Tanikhel,Town,Mianwali
Tank,City,Tank
Tapyala,Village,Narowal
Taran Taran,Village,Faisalabad
Targa,Village,Kasur
Targarh,Village,Lahore
Tarnol,Town,Islamabad
Taunsa Sharif,City,Dera Ghazi Khan
Taxila,City,Rawalpindi
Tehi,Village,Chakwal
Tekgarh,Village,Faisalabad
Thakra,Village,Rawalpindi
Thamewali,Town,Mianwali
Thatha Shamsa,Village,Hafizabad
Thatha shamsa,Village,Hafizabad
Thatta,Town,Attock
Thatta Jhamb,Village,Chiniot
Thikrian,Village,Gujrat
Thoa Mehram Khan,Village,Chakwal
Thutha Rai Bahadar,Town,Gujrat
Tibba Mehrban Shah,Village,Mianwali
Tibbi Qaisrani,Town,Dera Ghazi Khan
Tilloker,Village,Khushab
Timergara,City,Lower Dir
Tirathpur,Town,Sahiwal
Toba Qalandar Shah,Town,Bahawalnagar
Toba Tek Singh,City,Toba Tek Singh
Tobah,Village,Jhelum
Tola Bhangi Khel,Town,Mianwali
Trag,Village,Mianwali
Tuman Leghari,Town,Dera Ghazi Khan
Tuman Qaisrani,Town,Dera Ghazi Khan
Turbat,City,Kech
Uchalli,Village,Khushab
Uguana,Village,Pakpattan
Umerkot,City,Umerkot
Usman Wala,City,Kasur
Uthal,City,Lasbela
Utra Janubi,Village,Khushab
Vanjari,Town,Mianwali
Vehari,City,Vehari
Vichvin Bala,Town,Mianwali
Wadala Sandhuan,Town,Sialkot
Wadore,Town,Dera Ghazi Khan
Wah Cantonment,City,Rawalpindi
Waheer,Village,Khushab
Walana,Village,Rahim Yar Khan
Wan,Village,Sialkot
Wan Adhen,Town,Kasur
Wan Khara,Town,Kasur
Wan Radha Ram,Town,Kasur
Wara Alam Shah,Town,Mandi Bahauddin
Warburton,Town,Nankana Sahib
Warcha,Village,Khushab
Warwal,Village,Chakwal
Wasu,Town,Mandi Bahauddin
Watta Khel,Village,Mianwali
Wazirabad,City,Gujranwala
Yaru Khel,Village,Mianwali
Yazman,City,Bahawalpur
Zafarke,Town,Kasur
Zafarwal,City,Narowal
Zaffer Abad Noon,Village,Sargodha
Zahir Pir,City,Rahim Yar Khan
Zhob,City,Zhob
Ziarat,City,Ziarat
Zira Nawan,Village,Toba Tek Singh
