HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
Mind Power Counselling & Psycho Therapy Hospital,Multan,Bahadurr Purr,"Mind Power Counselling & Psycho Therapy Hospital, Bahadurr Purr Multan, Bahadurr Purr, Multan",1,3361416666
Family Dental Care Hospital,Multan,Basti Prarian,"Family Dental Care Hospital, Near Chungi No. 9, Bakkar Mandi Rd, Basti Prarian, Multan",1,3004463801
Paracha Hospital,Multan,Basti Prarian Multan,"Paracha Hospital, Tughlaq Rd, Basti Prarian, Multan, Punjab, Basti Prarian,Multan, Multan",1,0300 4541421
Ashraf Naseer Medical Centre,Multan,Block E Shah Rukn E Alam Housing Scheme Multan Punjab,"Ashraf Naseer Medical Centre, Metro Station? New Multan Rd Block E, Shah Rukh-E-Alam Colony, Near Jinnah Park? Block E Shah Rukn E Alam Housing Scheme, Multan, Punjab 60650, Block E Shah Rukn E Alam Housing Scheme, Multan, Punjab, Multan",4,(061) 4552215
Ansari Clinic,Multan,Block F Shah Rukn E Alam Housing Scheme,"Ansari Clinic, Shah Rukn E Alam Colony Block F Shah Rukn E Alam Housing Scheme, Block F Shah Rukn E Alam Housing Scheme, Multan",-,3111222398
Alii Clinic,Multan,Boasn Road,"Alii Clinic, E-19 Duch Villas Boasn Road Near Bzu, Boasn Road, Multan",1,3111222398
Ibne Sina Hospital,Multan,Bosan Rd,"Ibne Sina Hospital, Rohtak House Multan, Bosan Rd, Bosan Rd, Multan",4,0336 7600362
Child Care Clinic Multan,Multan,Bosan Rd,"Child Care Clinic Multan, Bosan Rd, Near Multan Marque, Opp. : Hamza Masjid, Sabzazar Nasheman Colony, Multan, Punjab, Bosan Rd, Multan",1,3008689722
Jatoi Eye Care Hospital,Multan,Bosan Rd,"Jatoi Eye Care Hospital, Opposite Punjab Nursery Near Chase Up Store, Bosan Rd, Multan",1,3056598025
Noor Eye And Dental Hospital,Multan,Bosan Rd,"Noor Eye And Dental Hospital, Abadi Adda Bosan, Bosan Rd, Multan",1,3002387934
Mux Clinics,Multan,Bosan Rd,"Mux Clinics, Near Faisal Real State Adjacent Bucch Villas Main Gate, Bosan Rd, Multan",1,042-32591432
Royal Neuro Rehabilitation Centre,Multan,Bosan Rd,"Royal Neuro Rehabilitation Centre, Officer Colony House #5 Opposite Mashallah Electronic Chase Up Bosan Road, Bosan Rd, Multan",1,3005264340
The Doctors Clinic,Multan,Bosan Rd,"The Doctors Clinic, Opposite Butch Vilas, Bosan Road, Bosan Rd, Multan",1,3087581616
Multan Clinics,Multan,Bosan Rd Sabzazar Colony,"Multan Clinics, Bosan Rd, Sabzazar Colony, Bosan Rd, Sabzazar Colony, Multan",4,0347 4008164
Buch International Hospital,Multan,Bosan Road,"Buch International Hospital, Buch Executive Villas, Bosan Road, Multan",8,0347 7244244
Doctor Clinic,Multan,Bosan Road,"Doctor Clinic, House # 82, Street # 4, Oppt. Main Mosque, Zakriya Town, Bosan Road, Multan",2,3006353580
Mzk Aesthetic & Stem Cell Clinic,Multan,Bosan Road,"Mzk Aesthetic & Stem Cell Clinic, Ali St New Sabzazar Colony, Bosan Road, Multan",2,(061) 2030312
Usama Medicare Hospital,Multan,Bosan Road,"Usama Medicare Hospital, 6 No. Chungi, Bosan Road, Multan",-,3067496616
"Nishan Rehab Center - Drug Addiction Treatment Services, Multan",Multan,Bosan Road,"Nishan Rehab Center - Drug Addiction Treatment Services, Multan, Gulshan-E-Mehr, Bosan Road, Multan",-,0300 2176393
Detox & Rehab Mental Health Multan Hospital,Multan,Bosan Road,"Detox & Rehab Mental Health Multan Hospital, 86/ Gulshan-E-Mehr, Bosan Road, Multan",-,03332244634 / 03358295297
National Pharmacy Clinic,Multan,Bosan Road,"National Pharmacy Clinic, Opposite Dha Gate Bosan Road, Bosan Road, Multan",1,3111222398
Oracare Dental Clinic,Multan,Bosan Road,"Oracare Dental Clinic, Main Zikriya Town, Near Street Number 23, Bosan Road, Bosan Road, Multan",1,9.23036E+11
Saleem Surgical Hospital,Multan,Bosan Road,"Saleem Surgical Hospital, Bosan Rd, Bahadurpur, Bosan Road, Multan",2,3361416666
Ycdo Executive Hospital Mother & Child Care,Multan,Bosan Road,"Ycdo Executive Hospital Mother & Child Care, Bosan Road Near City Hospital Multan, Bosan Road, Multan",-,3152827777
Sughraan Wazeer Medical Complex Hospital,Multan,Boson Road,"Sughraan Wazeer Medical Complex Hospital, Sayydan Wala Bypass, Boson Road, Multan",2,3008976522
Buch Villa Clinic,Multan,Buch Villas Housing Society,"Buch Villa Clinic, Boson Road, Buch Villas Housing Society, Multan",1,(061)6522531
