HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
Kamran Hospital,Rahim-Yar-Khan,Officers Colony,"Kamran Hospital, Hospital Road Near Hamza Medicare, Officers Colony, Rahim Yar Khan",1,685872616
Pastuna Medical Complex Hospital,Rahim-Yar-Khan,Officers Colony,"Pastuna Medical Complex Hospital, Hospital Road, Officers Colony, Rahim Yar Khan",-,685876056
Rabbani Medical Complex Hospital,Rahim-Yar-Khan,Officers Colony,"Rabbani Medical Complex Hospital, Hospital Road, Officers Colony, Rahim Yar Khan",1,3049508483
Sadia Omer Clinic,Rahim-Yar-Khan,Officers Colony,"Sadia Omer Clinic, 14 B, Oppo. Naveed Clinic, Officers Colony, Rahim Yar Khan",-,3111179600
Tahir Heart Clinic,Rahim-Yar-Khan,Officers Colony,"Tahir Heart Clinic, Near Hamza Medicare, Officers Colony, Rahim Yar Khan",1,3323030891
Moosa Skin & Laser Clinic,Rahim-Yar-Khan,Punjab,"Moosa Skin & Laser Clinic, Jamiyatul-Ul-Farooq Road Near Meat N Meat And Khan Pur Ada, Punjab, Rahim Yar Khan",1,3332382627
Rehman Family Hospital,Rahim-Yar-Khan,Punjab,"Rehman Family Hospital, Abu Dhabi Rd, Dari Sangi, Punjab, Rahim Yar Khan",1,3216702856
Al Rehman Hospital & Ultrasound Center,Rahim-Yar-Khan,Punjab,"Al Rehman Hospital & Ultrasound Center, Block Y Khanpur, Punjab, Rahim Yar Khan",1,3337473348
Dental Zone Clinic,Rahim-Yar-Khan,Punjab,"Dental Zone Clinic, Adagulmerg Infront Of National Garrison School, Punjab, Rahim Yar Khan",1,042-32591432
Fouji Foundation Hospital,Rahim-Yar-Khan,Punjab,"Fouji Foundation Hospital, Near To Directorate Of Punjab Employees Social Security, Punjab, Rahim Yar Khan",1,3353295124
Harris Hospita Hospital,Rahim-Yar-Khan,Quaide Azam Road,"Harris Hospita Hospital, 6Th Quaid.E.Azam Road Sadiqabad City District, Quaide Azam Road, Rahim Yar Khan",1,3342270198
Harris Hospital,Rahim-Yar-Khan,Quaide Azam Road,"Harris Hospital, 6Th Quaid.E.Azam Road Sadiqabad City District, Quaide Azam Road, Rahim Yar Khan",-,3342270198
Sheikh Zayed Hospital,Rahim-Yar-Khan,Rahim Yar Khan,"Sheikh Zayed Hospital, 64200, Rahim Yar Khan, Rahim Yar Khan",8,689239343
Naveed Clinic,Rahim-Yar-Khan,Rahim Yar Khan,"Naveed Clinic, Razi Road, Rahim Yar Khan, Rahim Yar Khan",3,685884848
Al Riaz Homeopathic Clinic,Rahim-Yar-Khan,Rahim Yar Khan,"Al Riaz Homeopathic Clinic, Leghari Road Opposite Unilever State, Rahim Yar Khan, Rahim Yar Khan",1,3009675336
Hamdani Hospital Rahimyar Khan,Rahim-Yar-Khan,Rahim Yar Khan,"Hamdani Hospital Rahimyar Khan, C889+Mfw, Abu Dhabi Rd, Rahim Yar Khan, Rahim Yar Khan",1,685884599
Hospital Road,Rahim-Yar-Khan,Rahim Yar Khan,"Hospital Road, Hospital Road, Rahim Yar Khan, Rahim Yar Khan",3,685887714
24/B Hospital,Rahim-Yar-Khan,Rahim Yar Khan,"24/B Hospital, Model Town, Rahim Yar Khan, Rahim Yar Khan",1,3216364584
4-Model Town Hospital,Rahim-Yar-Khan,Rahim Yar Khan,"4-Model Town Hospital, Near Sajid Surgical, Rahim Yar Khan, Rahim Yar Khan",1,685045221
Abdullah Hospital,Rahim-Yar-Khan,Rahim Yar Khan,"Abdullah Hospital, Officers Colony, Rahim Yar Khan, Rahim Yar Khan",1,685883655
Abu Zahbi Road Hospital,Rahim-Yar-Khan,Rahim Yar Khan,"Abu Zahbi Road Hospital, Rahim Yar Khan, Rahim Yar Khan, Rahim Yar Khan",2,3317880807
Alnoor Hospital,Rahim-Yar-Khan,Rahim Yar Khan,"Alnoor Hospital, Hospital Road Near Hameed Hospital, Rahim Yar Khan, Rahim Yar Khan",-,3347332622
C-19 Hospital,Rahim-Yar-Khan,Rahim Yar Khan,"C-19 Hospital, Medical Colony Szh, Rahim Yar Khan, Rahim Yar Khan",1,3017420798
Iqbal Medical Complex Khan Bela Hospital,Rahim-Yar-Khan,Rahim Yar Khan,"Iqbal Medical Complex Khan Bela Hospital, Near Al Madina Super Store, Klp Road, Khan Bela, Rahim Yar Khan, Rahim Yar Khan",-,685872320
Iqbalabad Hospital,Rahim-Yar-Khan,Rahim Yar Khan,"Iqbalabad Hospital, Interchange Road Near Apni Pharmacy Iqbalabad Chowk, Rahim Yar Khan, Rahim Yar Khan",2,3028719460
Junaid Medicare Hospital,Rahim-Yar-Khan,Rahim Yar Khan,"Junaid Medicare Hospital, Hospital Road, Rahim Yar Khan, Rahim Yar Khan",1,685875161
Khan Plaza Chowk Hospital,Rahim-Yar-Khan,Rahim Yar Khan,"Khan Plaza Chowk Hospital, Bahadur Pur, Rahim Yar Khan, Rahim Yar Khan",1,3138459955
Rahim Yar Khan Diagnostic Hospital,Rahim-Yar-Khan,Rahim Yar Khan,"Rahim Yar Khan Diagnostic Hospital, Hospital Road, Rahim Yar Khan, Rahim Yar Khan",1,685874220
Shafqat Clinic,Rahim-Yar-Khan,Rahim Yar Khan,"Shafqat Clinic, Hospital Road, Rahim Yar Khan, Rahim Yar Khan",1,685874700
Shahid Park Hospital,Rahim-Yar-Khan,Rahim Yar Khan,"Shahid Park Hospital, Jail Road, Rahim Yar Khan, Rahim Yar Khan",1,685887299
Usman Eye Clinic,Rahim-Yar-Khan,Rahim Yar Khan,"Usman Eye Clinic, Rahim Yar Khan, Rahim Yar Khan, Rahim Yar Khan",-,685871184
Mukhtar Medicares Hospital,Rahim-Yar-Khan,Sadiqabad,"Mukhtar Medicares Hospital, Near Railway Overpass, Sadiqabad, Rahim Yar Khan",1,(068) 5705558
Al Murtaza Hospital,Rahim-Yar-Khan,Sadiqabad,"Al Murtaza Hospital, Kacha Sadiqabad Rd, Mazhar Farid Colony, Sadiqabad, Rahim Yar Khan",1,0334 0390540
Alshifa Children Hospital,Rahim-Yar-Khan,Sadiqabad,"Alshifa Children Hospital, Club Rd, Kothi Mohalla, Sadiqabad, Rahim Yar Khan, Punjab, Sadiqabad, Rahim Yar Khan",1,(068) 5700059
Bakhtawar Memorial Hospital,Rahim-Yar-Khan,Sadiqabad,"Bakhtawar Memorial Hospital, Ghafoorabad, Sadiqabad, Rahim Yar Khan, Sadiqabad, Rahim Yar Khan",-,0300 8676627
Al Muslim Hospital,Rahim-Yar-Khan,Sadiqabad Rd,"Al Muslim Hospital, Kacha Sadiqabad, Sadiqabad Rd., Rahim Yar Khan",1,042 32591427
Osama Poly Clinic,Rahim-Yar-Khan,Saway Khan,"Osama Poly Clinic, Main Road Tarinda Saway Khan, Saway Khan, Rahim Yar Khan",-,4232591427
Hashmi Homeopathic Clinic,Rahim-Yar-Khan,Shah Faisal Colony,"Hashmi Homeopathic Clinic, Shah Faisal Colony, Main Thali Rd, Shah Faisal Colony, Rahim Yar Khan",1,3002169956
Chest Clinic,Rahim-Yar-Khan,Sheikh Zaid Hospital Road,"Chest Clinic, Residence No.16/C, Medical Colony. Near Labor Room. Sheikh Zayed Hospial, Sheikh Zaid Hospital Road, Rahim Yar Khan",1,3049210228
Prof. Dr. Irfan Ahmad (Gastroentrologist) Hospital,Rahim-Yar-Khan,Sheikh Zaid Hospital Road,"Prof. Dr. Irfan Ahmad (Gastroentrologist) Hospital, B-27 Sheikh Zayed Medical College Rd, Sheikh Zaid Hospital Road, Rahim Yar Khan",1,3013248888
Waseem Dental Clinic,Rahim-Yar-Khan,Sheikh Zaid Hospital Road,"Waseem Dental Clinic, Near Nisar Medical Complex, Sheikh Zaid Hospital Road, Sheikh Zaid Hospital Road, Rahim Yar Khan",1,3052910151
Hamza Homeo Clinic And Research Center,Rahim-Yar-Khan,Sheikhzaid Hospital Rd,"Hamza Homeo Clinic And Research Center, Sheikhzaid Hospital Rd, Sheikhzaid Hospital Rd, Rahim Yar Khan",1,3006748123
Mjs Fitness Clinic,Rahim-Yar-Khan,Street 3 Fazilat Town Near Rohi Mart,"Mjs Fitness Clinic, Street # 3, Fazilat Town, Near Rohi Mart, Street # 3, Fazilat Town, Near Rohi Mart, Rahim Yar Khan",-,3027621644
Al Khidmat Medical Complex Hospital,Rahim-Yar-Khan,Trust Colony,"Al Khidmat Medical Complex Hospital, Near Outfitters, Trust Colony, Rahim Yar Khan",4,685877084
Ghazala Dental Clinic,Rahim-Yar-Khan,Trust Colony,"Ghazala Dental Clinic, Colony Road, Trust Colony, Rahim Yar Khan",1,3363450001
Mahmood Physiotherapy Clinic,Rahim-Yar-Khan,Trust Colony,"Mahmood Physiotherapy Clinic, 14 Club Road, Near Alfalah Bank, Trust Colony, Rahim Yar Khan",1,3358666767
Speech Therapy Clinic,Rahim-Yar-Khan,Trust Colony,"Speech Therapy Clinic, Near Hang Ten Shop, Trust Colony, Rahim Yar Khan",1,3327776295
Rehman Hopsital Hospital,Rahim-Yar-Khan,Zafar Abad Colony,"Rehman Hopsital Hospital, Thali Chowk By Pass Road Near Thali Chowk, Zafar Abad Colony, Rahim Yar Khan",1,3111222398
Nishtar Chest Care Clinic,Rajan-Pur,Jampur,"Nishtar Chest Care Clinic, Jhvr+4V6, Indus Hwy, Jampur, Jampur, Rajan Pur",1,3316754545
Ahad Eye Clinic And Optical Center,Rajan-Pur,Kachehri Chowk,"Ahad Eye Clinic And Optical Center, Khan Plaza, Near Dhq Hospital, Kachehri Chowk, Rajan Pur",1,3453082308
Nazeer Memorial Clinic,Rajan-Pur,Rajanpur,"Nazeer Memorial Clinic, Rana Market Near Gabool Madarsa Thehri Road, Rajanpur, Rajan Pur",2,3346688772
Noor Care Hospital,Rajan-Pur,Rajanpur District,"Noor Care Hospital, Noor Care Hospital Road, N-55, Near Sabzi Mandi Indus, Rajanpur District, Rajan Pur",2,3111444648
Shaukat Eye Center,Rajan-Pur,Zia Shaheed Rd,"Shaukat Eye Center, Near Shehroz Medical Store, Zia Shaheed Rd, Rajan Pur",1,4232591427
Ali Imran Hospital,Rawalakot,0,"Ali Imran Hospital, Cmh Rd, Pothi Balla, Poonch, Poonch, Rawalakot",1,058244 42782
United Hospital,Rawalakot,0,"United Hospital, Near Cmh Rawalakot, Bypass Road, Rawalakot",1,5824442345
Poonch Medical Centre,Rawalakot,0,"Poonch Medical Centre, Naala Bazar Al-Noor Market Near Cmh, Naala Bazar, Rawalakot",-,5824442385
Ali Firdous Clinic,Rawalakot,0,"Ali Firdous Clinic, Supply Bazar, Azad Jammu And Kashmir, Azad Jammu And Kashmir, Rawalakot",-,3350921719
Dar Ul Shifa Hospital,Rawalakot,0,"Dar Ul Shifa Hospital, Bypass Road Rawalakot, 0, Rawalakot",1,3310445449
Aamna Hospital,Rawalakot,0,"Aamna Hospital, Housing Scheme Bank Road Rawalkot, 0, Rawalakot",-,0333 5714730
Nutrition For Life Hospital,Rawalpindi,Opposite Police Station Defence A On Ghazi Road,"Nutrition For Life Hospital, Sadiqabad Rd, Block A, Satellite Town, (Opposite Police Station Defence A On Ghazi Road), Rawalpindi",1,3068950324
Amanant Eye Hospital,Rawalpindi,Civil Lines,"Amanant Eye Hospital, 10-D Mayo Road, Civil Lines, Rawalpindi",-,051 8439993
Amanat Eye Hospital,Rawalpindi,Civil Lines,"Amanat Eye Hospital, 10-D Mayo Road, Civil Lines, Rawalpindi",1,3000545879
Asia General Hospital( Kidney Centre),Rawalpindi,Civil Lines,"Asia General Hospital( Kidney Centre), 1-Hill Park Opposite To Ayub Park Jhelum Road Rawalpindi, , Civil Lines, Rawalpindi",-,515450742
Farooq Clinic,Rawalpindi,Civil Lines,"Farooq Clinic, Local St, Saddar,, , Civil Lines, Rawalpindi",1,(051) 5582000
Hope Well Medical Centre,Rawalpindi,Bahria Town Phase 8 Rawalpindi,"Hope Well Medical Centre, Hash Mart Near Bank Alfalah Bahria Express-Way Near District Commercial Phase 8 Bahria Town, . Bahria Town Phase 8 Rawalpindi, Rawalpindi",4,3088779431
Tatheer Zahra Clinic,Rawalpindi,Bahria Town Phase 8 Rawalpindi,"Tatheer Zahra Clinic, Street 17A, Overseas Sector 3, . Bahria Town Phase 8 Rawalpindi, Rawalpindi",-,3335124153
B3 Healthcare Clinic,Rawalpindi,Bahria Town Phase 8 Rawalpindi,"B3 Healthcare Clinic, Linear Commercial Park, Plaza No 80, Phase 8 Sector E Bahria Town,, . Bahria Town Phase 8 Rawalpindi, Rawalpindi",1,3033910000
Shaheen Health Plus Hospital,Rawalpindi,,"Shaheen Health Plus Hospital, In Basement Of Mega Medical Complex, 0, Rawalpindi",3,3214353686
Bhutto Medical Complex Hospital,Rawalpindi,,"Bhutto Medical Complex Hospital, Dhoke Sayeda Road, 0, Rawalpindi",1,042-32591432
Dr. Shafi Family Care And Wellness Center,Rawalpindi,,"Dr. Shafi Family Care And Wellness Center, Plaza 226, Bahria Springs North Phase 7, Bahria Town, 0, Rawalpindi",1,3358033278
Sakhar Medical Complex Hospital,Rawalpindi,,"Sakhar Medical Complex Hospital, Farooq-E-Azam Road, Near Haroon Chowk, 0, Rawalpindi",1,0
Al-Ihsan Hospital,Rawalpindi,142 Murree Rd,"Al-Ihsan Hospital, Near Mureer Chowk, 142 Murree Rd, Rawalpindi",3,(051) 5130183
Nelson Medical Complex Hospital,Rawalpindi,Abid Majeed Road,"Nelson Medical Complex Hospital, Abid Majeed Road, Opposite Mh Gate No.6, Abid Majeed Road, Rawalpindi",9,(051) 5584997
Ayesha Dental Clinic Under Nelson Medical Complex,Rawalpindi,Abid Majeed Road,"Ayesha Dental Clinic Under Nelson Medical Complex, Opposite Mh Gate 6, Abid Majeed Road, Rawalpindi",1,515584997
Islamabad Therapy Centre,Rawalpindi,Adiala Tower,"Islamabad Therapy Centre, First Floor, Adiala Road, Adiala Tower,, Rawalpindi",-,3030382652
Smile Up Dental Clinc Hospital,Rawalpindi,Adyala Road,"Smile Up Dental Clinc Hospital, Near Habib Bank, Adyala Road, Rawalpindi",1,3465069862
Nissa Hospital,Rawalpindi,Adyala Road,"Nissa Hospital, Mubarak Lane, Adyala Road, Rawalpindi",1,3315183973
Sharif Dental Clinic,Rawalpindi,Adyala Road,"Sharif Dental Clinic, Jarahi Stop, Adyala Road, Rawalpindi",-,3345431647
Islamabad Therapy Center,Rawalpindi,Adyala Road,"Islamabad Therapy Center, Adyala Towers, First Floor, Near Shell Pump,, Adyala Road, Rawalpindi",-,4232591427
Huda Medical Center,Rawalpindi,Adyala Road,"Huda Medical Center, Dhoke Imam Din Adyala Road, Adyala Road, Rawalpindi",1,3035533964
Kalsoom Medical Center,Rawalpindi,Adyala Road,"Kalsoom Medical Center, Adyala Rd Opposite Gate 2 Of Gulshan Abad, Adyala Road, Rawalpindi",-,0
Mental Health Care Center,Rawalpindi,Adyala Road,"Mental Health Care Center, Lane No 4, Jarahi Stop Adyala Road, Adyala Road, Rawalpindi",1,3325819612
Occupational & Special Education Services Hospital,Rawalpindi,Adyala Road,"Occupational & Special Education Services Hospital, Amin Arcade, Opposite Stylo Shoes, Khwaja Cooperation Chowk, Near Mani Cng, Adyala Road, Rawalpindi",-,03185113845 / 03055314407
Makhdoom Eye Care Clinic & Optics,Rawalpindi,Afshan Colony,"Makhdoom Eye Care Clinic & Optics, Usman Street, Afshan Colony, Rawalpindi",1,3315817584
Maryam Memorial Hospital,Rawalpindi,Afzal Town,"Maryam Memorial Hospital, House No 33,Street No 128, G13/4,Main Double Road, Afzal Town, Rawalpindi",3,515464680
Temar Diagnostic Centre,Rawalpindi,Ahmed Medical Centre,"Temar Diagnostic Centre, Under Ahmad Medical Centre Rawalpindi Institute Of Cardiology, Ahmed Medical Centre, Rawalpindi",1,3111222398
Al Mehfooz Medical Centre And Maternity Home,Rawalpindi,Airport Housing Society,"Al Mehfooz Medical Centre And Maternity Home, Plot33 Street 23 Sec1, Airport Housing Society, Rawalpindi",3,0334 5400187
Dr Atta Khan Hospital And Pharmacy,Rawalpindi,Airport Housing Society,"Dr Atta Khan Hospital And Pharmacy, 475 Sector 1 Airport Housing Society, Airport Housing Society, Rawalpindi",2,515709951
Family Clinicc,Rawalpindi,Airport Housing Society,"Family Clinicc, Sector 4 Airport Housing Society, Airport Housing Society, Rawalpindi",1,3005142740
Neurosurgeon Hospital,Rawalpindi,Airport Housing Society,"Neurosurgeon Hospital, 337, Sector 1, Airport Housing Society,, Airport Housing Society, Rawalpindi",-,3457900764
Aneesa Gynae Clinic,Rawalpindi,Airport Housing Society,"Aneesa Gynae Clinic, H No 588 Jinnah Road Airport Housing Society Sector 4, Airport Housing Society, Rawalpindi",1,042-32591432
Nisar Homeo Clinic,Rawalpindi,Al Noor Town,"Nisar Homeo Clinic, Street 3, Sector 2, Al Noor Colony, Al Noor Town, Rawalpindi",1,3008340923
The Citi Lab Adyala Road Hospital,Rawalpindi,Ali Town Munawar Colony,"The Citi Lab Adyala Road Hospital, Adyala Rd,, Ali Town Munawar Colony, Rawalpindi",-,515180490
Ahsan Medical Centre,Rawalpindi,Allama Iqbal Colony,"Ahsan Medical Centre, Near Street No 13, Allama Iqbal Colony, Rawalpindi",-,92515566117
Hashmi Homeo Clinic,Rawalpindi,Alnoor,"Hashmi Homeo Clinic, House No 455 Street No 4 Sector 2, Alnoor, Rawalpindi",1,3115540174
Leprosy Hospital Rawalpindi,Rawalpindi,Amirpura Mohalla,"Leprosy Hospital Rawalpindi, Zafar Ul Haq Road, Amirpura Mohalla, Rawalpindi",1,(051) 5598547
Hayat Wali Medical Center (Rawalpindi),Rawalpindi,Asghar Mall Rd,"Hayat Wali Medical Center (Rawalpindi), J3G8+X6V, Kartar Pura, Asghar Mall Rd, Rawalpindi",5,042-32591427
Hyat Wali Medical Center,Rawalpindi,Asghar Mall Rd,"Hyat Wali Medical Center, Asghar Mall Rd Kartar Pura, Asghar Mall Rd, Rawalpindi",2,3315050267
Pine Healthcare Clinic,Rawalpindi,Asghar Mall Rd,"Pine Healthcare Clinic, Asghar Mall Rd, Asghar Mall Scheme, Asghar Mall Rd, Rawalpindi",-,(051) 8895233
Iqbal Clinic,Rawalpindi,Asghar Mall Road,"Iqbal Clinic, Asghar Mall Road, Eid Ghah,, Asghar Mall Road,, Rawalpindi",1,3009541437
Agha Khan Lab Collection Point Hospital,Rawalpindi,Asghar Mall Scheme,"Agha Khan Lab Collection Point Hospital, Chandani Chowk,Murre Road, Asghar Mall Scheme, Rawalpindi",-,(051) 4456431
Saira Nazeer Clinic,Rawalpindi,Askari 10,"Saira Nazeer Clinic, Address: Shop No. 1, Meher Manzil, Old Airport Road, Jhanda Chichi Stop , Opposite Askari 10, Askari 10, Rawalpindi",1,3330505742
The Homoeo Clinic,Rawalpindi,Awan Colony,"The Homoeo Clinic, Awan Colony. Dhoke Kala Khan, Awan Colony, Rawalpindi",-,3215296252
Dr Sarah Hamid Dental Associates Hospital,Rawalpindi,Bahira Town,"Dr Sarah Hamid Dental Associates Hospital, Plaza 21, Mini Extension 2, Bharia Phase 7, Near Save Mart, Bahira Town, Rawalpindi",1,3349143585
Hassaan Dental Clinic - Bahria Enclave,Rawalpindi,Bahria,"Hassaan Dental Clinic - Bahria Enclave, Bahria Enclave, Bahria, Rawalpindi",1,3350600111
Pain Clinic,Rawalpindi,Bahria,"Pain Clinic, Bahria Phase 8, Square Commercial, Bahria, Rawalpindi",1,3457210070
Reliance Hospital,Rawalpindi,Bahria Town,"Reliance Hospital, Civic Centre Phase 4, Bahria Town, Rawalpindi",55,042-32591427
Medicent Hospital,Rawalpindi,Bahria Town,"Medicent Hospital, 44 Marina Commercial Corniche Road Phase 4 Bahria Town, Bahria Town, Rawalpindi",10,042-32591427
The Health Professionals Medical And Rehabilitation Center,Rawalpindi,Bahria Town,"The Health Professionals Medical And Rehabilitation Center, Lg 9 Bahria Heights Ii, Ext Bahria Town Phase 6, Bahria Town, Rawalpindi",10,042-32591427
Reliance Asthetics Hospital,Rawalpindi,Bahria Town,"Reliance Asthetics Hospital, Civic Center Street 1 Civic Center, Bahria Town, Rawalpindi",4,042-32591427
Spring North Hospital,Rawalpindi,Bahria Town,"Spring North Hospital, G3Cq+P8 Intellectual Village Capital Territory, Bahria Town, Rawalpindi",2,042-32591427
Maryam Memorial Hospital Bahria Town,Rawalpindi,Bahria Town,"Maryam Memorial Hospital Bahria Town, Phase 4 Building No 175 Block D St Civic Center, Bahria Town, Rawalpindi",10,515733858
Medicsi 3 Hospital,Rawalpindi,Bahria Town,"Medicsi 3 Hospital, Civic Center, South-West Boulevard, Bahria Town, Rawalpindi",5,512724198
Begum Akhtar Rukhsana Memorial Welfare Trust Hospital (Bahria International Hospital),Rawalpindi,Bahria Town,"Begum Akhtar Rukhsana Memorial Welfare Trust Hospital (Bahria International Hospital), Abu-Bakar Avenue, Phase 8 Safari Valley Commercial Block, Bahria Town, Rawalpindi",6,(051) 5705790
Hassaan Dental Clinic,Rawalpindi,Bahria Town,"Hassaan Dental Clinic, Shop 14,Linera Commercial Building,Safari Valley,Phase Viii, Bahria Town, Rawalpindi",1,0335 0600111
Cosmetics Hospital,Rawalpindi,Bahria Town,"Cosmetics Hospital, Civic Centre,Above Kfc,Phase 4, Bahria Town, Rawalpindi",-,3326461983
The Rheumatology Clinic,Rawalpindi,Bahria Town,"The Rheumatology Clinic, Excel Labs Main Gt Road, Near Bahria Phase 1-6, Swan Camp, Bahria Town, Rawalpindi",1,3356743862
Aesthetic Dentistry Centre,Rawalpindi,Bahria Town,"Aesthetic Dentistry Centre, 176, Near Faysal Bank, Bahria Spring North Commercial, Bahria Phase 7, Bahria Town, Rawalpindi",2,0324 5072197
Dental Specialist Clinic,Rawalpindi,Bahria Town,"Dental Specialist Clinic, Cornice Road, Phase 6, Bahria Town, Rawalpindi",-,3335790811
Dental Clinic By Kamran Khan,Rawalpindi,Bahria Town,"Dental Clinic By Kamran Khan, Abu Bakr Avenue Opposite Bahria International Hospital Phase 8, Bahria Town, Rawalpindi",1,3315935404
Dr. Ejaz Clinic,Rawalpindi,Bahria Town,"Dr. Ejaz Clinic, Street 39, 2 Commercial Area Rd, Phase 2 Bahria Town, Bahria Town, Rawalpindi",1,3335275275
Imc Hospital,Rawalpindi,Bahria Town,"Imc Hospital, Phase 7, Bahria Town, Rawalpindi",-,0333 1332278
Medicent Aesthetic Clinic,Rawalpindi,Bahria Town,"Medicent Aesthetic Clinic, Behria Town Phase 4, Bahria Town, Rawalpindi",-,3005897160
Prime Health Clinic,Rawalpindi,Bahria Town,"Prime Health Clinic, Phase 7, Bahria Town, Rawalpindi",1,-1
"The Mind Solutions, Psych Clinic",Rawalpindi,Bahria Town,"The Mind Solutions, Psych Clinic, Office No 2,Hamza Arcade Ist Floor,Near Ideas By Gul Ahmed,Phase 7, Bahria Town, Rawalpindi",-,3345888070
Arham Dental Clinic,Rawalpindi,Bahria Town,"Arham Dental Clinic, First Floor Plaza No, 12 Ali Haider Ave, Commercial Phase 8 Ali Block, Bahria Town, Rawalpindi",1,3358370661
Dental Polyclinic,Rawalpindi,Bahria Town,"Dental Polyclinic, Civic Center 1St Floor, 178 Block D, Bahria Town, Rawalpindi",1,3345438488
Dental Specialist Hospital,Rawalpindi,Bahria Town,"Dental Specialist Hospital, Phase 6,Main Avenue Road, Bahria Town, Rawalpindi",1,3215272812
Dr. Adnan Saleem (Cardiologist) Hospital,Rawalpindi,Bahria Town,"Dr. Adnan Saleem (Cardiologist) Hospital, House # 205, Rose Road, Safari Villas 3, Bahria Town, Rawalpindi",1,3349239680
Dr. Eman Dental Care Hospital,Rawalpindi,Bahria Town,"Dr. Eman Dental Care Hospital, B Road, 7/11 Commercial Market, Phase 5, Bahria Town, Rawalpindi",1,3315991135
Mumtaz Medical Centre,Rawalpindi,Bahria Town,"Mumtaz Medical Centre, Building 5,Park View Commercial,Street 9,Phase 3, Bahria Town, Rawalpindi",1,(051) 5732692
Psychological Services Hospital,Rawalpindi,Bahria Town,"Psychological Services Hospital, 232/24,Street No4, Aechs Rawalpindi, Bahria Town, Rawalpindi",1,3336744436
Shaheen Medical Centre,Rawalpindi,Bahria Town,"Shaheen Medical Centre, Umar Block, Phase 8, Bahria Town, Bahria Town, Rawalpindi",1,3088779431
Skin Club Hospital,Rawalpindi,Bahria Town,"Skin Club Hospital, Block A, Civic Center, Behind Subway, Phase 4, Bahria Town, Rawalpindi",1,3215890600
Cure Dental Clinic & Maxillofacial Surgery Centre,Rawalpindi,Bahria Phase 7,"Cure Dental Clinic & Maxillofacial Surgery Centre, Shop#G3/G4, Haroon-1 Plaza, River View Commercial Mini Ext-2, Bahria Phase 7, Rawalpindi",3,0300 1533570
Dental Studio By Dr. Laila Hayat Hospital,Rawalpindi,Bahria Phase 7,"Dental Studio By Dr. Laila Hayat Hospital, Shop No G6 , China Center 2 Wilayat Complex Bahria Phase 7, Bahria Phase 7, Rawalpindi",2,0333 5237907
Defense Medical Complex Hospital,Rawalpindi,Bahria Phase 7,"Defense Medical Complex Hospital, South Spring Commercial Near Clock Tower Bahria Town Phase 7, Bahria Phase 7, Rawalpindi",1,3118545787
Islamabad Physiotherapy & Rehabilitation Center (Iprc) - Phase 7 Branch,Rawalpindi,Bahria Phase 7,"Islamabad Physiotherapy & Rehabilitation Center (Iprc) - Phase 7 Branch, Plaza 1N Spring North Near Green Valley, Bahria Phase 7, Rawalpindi",-,3318777844
Shah Alam Physiotherapy Centre,Rawalpindi,Bahria Phase 7,"Shah Alam Physiotherapy Centre, Office 05 Block, Time Square Commercial, Lane 2, Bahria Phase 7, Rawalpindi",3,3486677000
Time To Smile - Dental Clinic,Rawalpindi,Bahria Phase 7,"Time To Smile - Dental Clinic, 2, Gf, Sama Arcade 3 Spring North, Bahria Phase 7, Rawalpindi",1,3458556658
Wellspring Medical Care Clinic,Rawalpindi,Bahria Phase 7,"Wellspring Medical Care Clinic, Wallayat Complex, Bahria Phase 7, Rawalpindi",2,042-32591432
Nazeer Begum Memorial Hospital,Rawalpindi,Bahria Phase 8,"Nazeer Begum Memorial Hospital, Plaza No 13, Linear Commercial, Near Bahria Maintenance Office, Bahria Phase 8, Rawalpindi",36,042-32591427
Alpha Dental & Surgical Practice Hospital,Rawalpindi,Bahria Phase 8,"Alpha Dental & Surgical Practice Hospital, Phase 8 Bahria Town, Bahria Phase 8, Rawalpindi",-,3317714005
Dr. Rehana Aesthetic Clinic,Rawalpindi,Bahria Phase 8,"Dr. Rehana Aesthetic Clinic, 1144, Street 15-A, Overseas, Bahria Phase 8, Rawalpindi",1,3335224060
Hopewell Medical Center,Rawalpindi,Bahria Phase 8,"Hopewell Medical Center, Hashmart, Plaza 3, Middle Ring Road, Overseas Sector 5, Commercial Area, Bahria Phase 8, Rawalpindi",-,3111222398
Medici Hospital,Rawalpindi,Bahria Town Phase 4,"Medici Hospital, Civic Centre, Bahria Town Phase 4, Rawalpindi",1,042-32591432
Medicent Ent Eye Dental Hospital,Rawalpindi,Bahria Town Phase 4,"Medicent Ent Eye Dental Hospital, 44 Marina Commercial, Corniche Road, Phase 4 Bahria Town, Rawalpindi, Bahria Town Phase 4, Rawalpindi",-,3145118532
Spire Medical Center,Rawalpindi,Bahria Town Phase 4,"Spire Medical Center, 145- Block C. Civic Centre, Bahria Town Phase 4, Rawalpindi",-,515411223
Steps Learning Center,Rawalpindi,Bahria Town Phase 4,"Steps Learning Center, Civic Center, Bahria Town Phase 4, Rawalpindi",-,3226868255
Topaz International Clinic,Rawalpindi,Bahria Town Phase 7,"Topaz International Clinic, Office 1, Ground Floor, Plaza 100C, North Spring Commercial, Bahria Town Phase 7, Rawalpindi",7,512000886
